Rank,Name,2022,2021,Change
1,Liam,20456,20272,0.90%
2,Noah,18621,18739,-0.63%
3,Oliver,15076,14616,3.10%
4,James,12028,12367,-2.78%
5,Elijah,11979,12708,-5.91%
6,William,11282,12088,-6.90%
7,Henry,11221,11307,-0.76%
8,Lucas,10909,11501,-5.28%
9,Benjamin,10842,11791,-8.39%
10,Theodore,10754,9535,12.02%
11,Mateo,10321,9112,12.44%
12,Levi,9786,9469,3.29%
13,Sebastian,9341,8867,5.21%
14,Daniel,9047,9066,-0.21%
15,Jack,8889,9504,-6.69%
16,Michael,8829,9041,-2.37%
17,Alexander,8673,9344,-7.45%
18,Owen,8546,8713,-1.94%
19,Asher,8350,8281,0.83%
20,Samuel,8342,8501,-1.89%
21,Ethan,8271,8804,-6.24%
22,Leo,8250,7749,6.26%
23,Jackson,8070,9197,-13.05%
24,Mason,7988,9040,-12.36%
25,Ezra,7943,7365,7.55%
26,John,7930,8130,-2.49%
27,Hudson,7883,7584,3.87%
28,Luca,7803,6847,13.05%
29,Aiden,7799,8252,-5.64%
30,Joseph,7771,8067,-3.74%
31,David,7741,7843,-1.31%
32,Jacob,7603,8397,-9.93%
33,Logan,7575,8786,-14.80%
34,Luke,7344,7660,-4.21%
35,Julian,7268,7629,-4.85%
36,Gabriel,7186,7216,-0.42%
37,Grayson,7148,7499,-4.79%
38,Wyatt,7144,7981,-11.07%
39,Matthew,7025,7420,-5.47%
40,Maverick,6991,6548,6.54%
41,Dylan,6698,6718,-0.30%
42,Isaac,6691,6907,-3.18%
43,Elias,6684,6305,5.84%
44,Anthony,6554,6741,-2.81%
45,Thomas,6465,6642,-2.70%
46,Jayden,6462,6887,-6.37%
47,Carter,6326,7163,-12.41%
48,Santiago,6017,5043,17.61%
49,Ezekiel,5993,5799,3.29%
50,Charles,5889,5952,-1.06%
51,Josiah,5763,6065,-5.11%
52,Caleb,5739,5894,-2.66%
53,Cooper,5609,4661,18.46%
54,Lincoln,5599,6653,-17.21%
55,Miles,5540,5694,-2.74%
56,Christopher,5535,5809,-4.83%
57,Nathan,5520,5401,2.18%
58,Isaiah,5360,5673,-5.67%
59,Kai,5343,4599,14.97%
60,Joshua,5146,5467,-6.05%
61,Andrew,5124,5570,-8.34%
62,Angel,5065,4661,8.31%
63,Adrian,5018,5113,-1.88%
64,Cameron,4939,5101,-3.23%
65,Nolan,4910,5319,-8.00%
66,Waylon,4897,4624,5.73%
67,Jaxon,4828,5693,-16.44%
68,Roman,4706,4527,3.88%
69,Eli,4664,4868,-4.28%
70,Wesley,4644,4196,10.14%
71,Aaron,4496,4818,-6.91%
72,Ian,4473,4270,4.64%
73,Christian,4442,4589,-3.26%
74,Ryan,4372,4703,-7.29%
75,Leonardo,4347,4081,6.31%
76,Brooks,4336,4429,-2.12%
77,Axel,4318,4516,-4.48%
78,Walker,4232,2846,39.16%
79,Jonathan,4175,4412,-5.52%
80,Easton,4143,4600,-10.45%
81,Everett,4100,4219,-2.86%
82,Weston,4090,3766,8.25%
83,Bennett,4082,3917,4.13%
84,Robert,4051,4402,-8.30%
85,Jameson,4050,4280,-5.52%
86,Landon,4007,4580,-13.35%
87,Silas,3996,3863,3.38%
88,Jose,3990,3971,0.48%
89,Beau,3939,3793,3.78%
90,Micah,3933,3583,9.31%
91,Colton,3906,4532,-14.84%
92,Jordan,3878,3981,-2.62%
93,Jeremiah,3842,4193,-8.74%
94,Parker,3840,3823,0.44%
95,Greyson,3750,4200,-11.32%
96,Rowan,3742,3617,3.40%
97,Adam,3625,3634,-0.25%
98,Nicholas,3623,3824,-5.40%
99,Theo,3614,2688,29.39%
100,Xavier,3580,3707,-3.49%
101,Hunter,3564,4171,-15.69%
102,Dominic,3553,3727,-4.78%
103,Jace,3516,3672,-4.34%
104,Gael,3503,3492,0.31%
105,River,3467,3455,0.35%
106,Thiago,3459,2703,24.54%
107,Kayden,3451,3555,-2.97%
108,Damian,3445,3275,5.06%
109,August,3403,3133,8.26%
110,Carson,3390,3751,-10.11%
111,Austin,3351,3752,-11.29%
112,Myles,3337,3142,6.02%
113,Amir,3333,3006,10.32%
114,Declan,3329,3626,-8.54%
115,Emmett,3308,3638,-9.50%
116,Ryder,3304,3403,-2.95%
117,Luka,3288,3197,2.81%
118,Connor,3199,3752,-15.91%
119,Jaxson,3160,3673,-15.02%
120,Milo,3087,2890,6.59%
121,Enzo,3077,2712,12.61%
122,Giovanni,2966,2987,-0.71%
123,Vincent,2960,3180,-7.17%
124,Diego,2958,2901,1.95%
125,Luis,2933,2719,7.57%
126,Archer,2914,2713,7.14%
127,Harrison,2912,3135,-7.38%
128,Kingston,2900,3366,-14.87%
129,Jasper,2898,2848,1.74%
130,Atlas,2898,2523,13.84%
131,Sawyer,2890,3229,-11.08%
132,Legend,2879,3152,-9.05%
133,Lorenzo,2824,2766,2.08%
134,Evan,2823,3190,-12.21%
135,Jonah,2731,2711,0.74%
136,Chase,2693,2911,-7.78%
137,Bryson,2687,3078,-13.56%
138,Adriel,2684,2464,8.55%
139,Nathaniel,2679,2802,-4.49%
140,Arthur,2674,2453,8.62%
141,Juan,2664,2344,12.78%
142,George,2620,2774,-5.71%
143,Cole,2611,2823,-7.80%
144,Zion,2600,2725,-4.69%
145,Jason,2594,2845,-9.23%
146,Ashton,2592,2527,2.54%
147,Carlos,2580,2486,3.71%
148,Calvin,2576,2574,0.08%
149,Brayden,2571,2825,-9.41%
150,Elliot,2518,2397,4.92%
151,Rhett,2488,2526,-1.52%
152,Emiliano,2475,2229,10.46%
153,Ace,2474,2432,1.71%
154,Jayce,2413,2403,0.42%
155,Graham,2390,2370,0.84%
156,Max,2380,2402,-0.92%
157,Braxton,2379,2559,-7.29%
158,Leon,2361,2183,7.83%
159,Ivan,2354,2273,3.50%
160,Hayden,2292,2187,4.69%
161,Jude,2288,2491,-8.50%
162,Malachi,2273,2283,-0.44%
163,Dean,2255,2341,-3.74%
164,Tyler,2252,2426,-7.44%
165,Jesus,2247,2248,-0.04%
166,Zachary,2245,2575,-13.69%
167,Kaiden,2225,2362,-5.97%
168,Elliott,2214,2262,-2.14%
169,Arlo,2204,1975,10.96%
170,Emmanuel,2200,1967,11.18%
171,Ayden,2178,2618,-18.35%
172,Bentley,2177,2488,-13.33%
173,Maxwell,2171,2359,-8.30%
174,Amari,2157,1908,12.25%
175,Ryker,2146,2475,-14.24%
176,Finn,2136,2082,2.56%
177,Antonio,2128,2169,-1.91%
178,Charlie,2098,1988,5.38%
179,Maddox,2097,2201,-4.84%
180,Justin,2067,2148,-3.84%
181,Judah,2062,2093,-1.49%
182,Kevin,2060,2094,-1.64%
183,Dawson,2040,1815,11.67%
184,Matteo,2036,2337,-13.77%
185,Miguel,2028,1939,4.49%
186,Zayden,2010,1880,6.68%
187,Camden,2009,2194,-8.80%
188,Messiah,2006,2216,-9.95%
189,Alan,1998,1918,4.09%
190,Alex,1995,1945,2.54%
191,Nicolas,1973,1996,-1.16%
192,Felix,1958,1950,0.41%
193,Alejandro,1954,1839,6.06%
194,Jesse,1952,1881,3.70%
195,Beckett,1948,1912,1.87%
196,Matias,1939,1713,12.38%
197,Tucker,1924,2124,-9.88%
198,Emilio,1900,1730,9.37%
199,Xander,1892,2000,-5.55%
200,Knox,1891,1718,9.59%
201,Oscar,1879,1681,11.12%
202,Beckham,1829,1717,6.32%
203,Timothy,1827,1903,-4.08%
204,Abraham,1824,1885,-3.29%
205,Andres,1824,1738,4.83%
206,Gavin,1785,2203,-20.96%
207,Brody,1781,2025,-12.82%
208,Barrett,1777,1959,-9.74%
209,Hayes,1770,1597,10.28%
210,Jett,1765,1443,20.07%
211,Brandon,1763,2117,-18.25%
212,Joel,1763,1786,-1.30%
213,Victor,1762,1803,-2.30%
214,Peter,1758,1768,-0.57%
215,Abel,1753,1935,-9.87%
216,Edward,1736,1739,-0.17%
217,Karter,1725,1903,-9.81%
218,Patrick,1703,1777,-4.25%
219,Richard,1673,1767,-5.47%
220,Grant,1663,1779,-6.74%
221,Avery,1653,1787,-7.79%
222,King,1634,2028,-21.52%
223,Caden,1612,1592,1.25%
224,Adonis,1603,1715,-6.75%
225,Riley,1589,1434,10.25%
226,Tristan,1588,1812,-13.18%
227,Kyrie,1586,1715,-7.82%
228,Blake,1573,1840,-15.65%
229,Eric,1549,1777,-13.71%
230,Griffin,1530,1579,-3.15%
231,Malakai,1519,1375,9.95%
232,Rafael,1505,1484,1.41%
233,Israel,1495,1538,-2.84%
234,Tate,1484,1086,30.97%
235,Lukas,1468,1662,-12.40%
236,Nico,1468,1351,8.30%
237,Marcus,1464,1600,-8.88%
238,Stetson,1460,874,50.21%
239,Javier,1458,1419,2.71%
240,Colt,1457,1725,-16.84%
241,Omar,1448,1299,10.85%
242,Simon,1444,1423,1.46%
243,Kash,1440,1471,-2.13%
244,Remington,1438,1585,-9.73%
245,Jeremy,1429,1471,-2.90%
246,Louis,1427,1404,1.62%
247,Mark,1420,1398,1.56%
248,Lennox,1417,1393,1.71%
249,Callum,1409,1257,11.40%
250,Kairo,1404,1307,7.16%
1,Olivia,16573,17728,-6.73%
2,Emma,14435,15433,-6.68%
3,Charlotte,12891,13285,-3.01%
4,Amelia,12333,12952,-4.90%
5,Sophia,12310,12496,-1.50%
6,Isabella,11662,11201,4.03%
7,Ava,11039,12759,-14.45%
8,Mia,11018,11096,-0.71%
9,Evelyn,9289,9434,-1.55%
10,Luna,8922,8173,8.76%
11,Harper,8191,8388,-2.38%
12,Camila,7965,8005,-0.50%
13,Sofia,7254,6933,4.53%
14,Scarlett,7224,6594,9.12%
15,Elizabeth,6964,7190,-3.19%
16,Eleanor,6881,7059,-2.55%
17,Emily,6461,6541,-1.23%
18,Chloe,6445,6311,2.10%
19,Mila,6445,6295,2.35%
20,Violet,6434,5474,16.12%
21,Penelope,6388,6327,0.96%
22,Gianna,6385,7437,-15.22%
23,Aria,6368,6348,0.31%
24,Abigail,6254,6938,-10.37%
25,Ella,6243,6987,-11.25%
26,Avery,6230,6770,-8.31%
27,Hazel,6125,5967,2.61%
28,Nora,6119,6246,-2.05%
29,Layla,6058,6303,-3.96%
30,Lily,5966,5584,6.61%
31,Aurora,5956,5466,8.58%
32,Nova,5885,5516,6.47%
33,Ellie,5761,5835,-1.28%
34,Madison,5479,5930,-7.91%
35,Isla,5255,5514,-4.81%
36,Grace,5255,5486,-4.30%
37,Willow,5025,5143,-2.32%
38,Zoe,4984,4687,6.14%
39,Riley,4886,5184,-5.92%
40,Stella,4830,4784,0.96%
41,Eliana,4780,4425,7.71%
42,Ivy,4772,4374,8.70%
43,Victoria,4763,4679,1.78%
44,Emilia,4664,4837,-3.64%
45,Zoey,4488,5179,-14.30%
46,Naomi,4463,4248,4.94%
47,Hannah,4451,4546,-2.11%
48,Lucy,4411,4433,-0.50%
49,Elena,4274,4252,0.52%
50,Lillian,4226,4302,-1.78%
51,Maya,4208,4050,3.83%
52,Leah,4169,4433,-6.14%
53,Paisley,4026,4263,-5.72%
54,Addison,3945,4468,-12.43%
55,Natalie,3932,4029,-2.44%
56,Valentina,3881,3458,11.53%
57,Everly,3880,4355,-11.54%
58,Delilah,3853,3735,3.11%
59,Leilani,3834,3460,10.26%
60,Madelyn,3709,3406,8.52%
61,Kinsley,3679,3871,-5.09%
62,Ruby,3593,3562,0.87%
63,Sophie,3512,3309,5.95%
64,Alice,3498,3494,0.11%
65,Genesis,3427,3321,3.14%
66,Claire,3365,3692,-9.27%
67,Audrey,3329,3662,-9.53%
68,Sadie,3278,3206,2.22%
69,Aaliyah,3270,3588,-9.27%
70,Josephine,3236,3364,-3.88%
71,Autumn,3214,3464,-7.49%
72,Brooklyn,3191,3508,-9.46%
73,Quinn,3091,3190,-3.15%
74,Kennedy,3060,3425,-11.26%
75,Cora,3049,2989,1.99%
76,Savannah,3034,3459,-13.09%
77,Caroline,3015,3180,-5.33%
78,Athena,3008,2688,11.24%
79,Natalia,2995,3191,-6.34%
80,Hailey,2993,3229,-7.59%
81,Aubrey,2982,3494,-15.81%
82,Emery,2961,2910,1.74%
83,Anna,2944,3044,-3.34%
84,Iris,2922,2569,12.86%
85,Bella,2888,3330,-14.22%
86,Eloise,2888,2528,13.29%
87,Skylar,2881,3324,-14.28%
88,Jade,2871,2840,1.09%
89,Gabriella,2858,3087,-7.70%
90,Ariana,2840,2967,-4.37%
91,Maria,2831,2579,9.32%
92,Adeline,2812,2747,2.34%
93,Lydia,2794,2908,-4.00%
94,Sarah,2780,2825,-1.61%
95,Nevaeh,2778,3025,-8.51%
96,Serenity,2775,3038,-9.05%
97,Liliana,2768,2591,6.61%
98,Ayla,2735,2566,6.38%
99,Everleigh,2708,2678,1.11%
100,Raelynn,2702,2669,1.23%
101,Allison,2699,3129,-14.76%
102,Madeline,2686,2735,-1.81%
103,Vivian,2661,2677,-0.60%
104,Maeve,2659,2247,16.80%
105,Lyla,2655,2499,6.05%
106,Samantha,2586,2584,0.08%
107,Rylee,2573,2702,-4.89%
108,Eva,2562,2812,-9.30%
109,Melody,2558,2449,4.35%
110,Clara,2541,2675,-5.14%
111,Hadley,2532,2467,2.60%
112,Julia,2531,2418,4.57%
113,Piper,2477,2727,-9.61%
114,Juniper,2474,1981,22.13%
115,Parker,2403,2406,-0.12%
116,Brielle,2380,2363,0.72%
117,Eden,2376,2287,3.82%
118,Remi,2374,2287,3.73%
119,Josie,2352,2150,8.97%
120,Rose,2349,2377,-1.18%
121,Arya,2330,2320,0.43%
122,Eliza,2328,2471,-5.96%
123,Charlie,2322,2202,5.31%
124,Peyton,2313,2682,-14.77%
125,Daisy,2307,2062,11.22%
126,Lucia,2202,2006,9.32%
127,Millie,2182,1681,25.94%
128,Margaret,2180,2232,-2.36%
129,Freya,2167,1853,15.62%
130,Melanie,2160,2173,-0.60%
131,Elliana,2114,2125,-0.52%
132,Adalynn,2113,2321,-9.38%
133,Alina,2109,2017,4.46%
134,Emersyn,2109,1884,11.27%
135,Sienna,2105,1870,11.82%
136,Mary,2097,2080,0.81%
137,Isabelle,2092,2368,-12.38%
138,Alaia,2072,2200,-5.99%
139,Esther,2060,1819,12.43%
140,Sloane,2050,1910,7.07%
141,Mackenzie,2030,2259,-10.68%
142,Amara,2029,1909,6.09%
143,Ximena,2004,1994,0.50%
144,Sage,1997,1656,18.67%
145,Cecilia,1995,2085,-4.41%
146,Valeria,1994,1805,9.95%
147,Reagan,1982,2231,-11.82%
148,Valerie,1974,1832,7.46%
149,Catalina,1941,1729,11.55%
150,River,1912,1862,2.65%
151,Magnolia,1869,1948,-4.14%
152,Kehlani,1865,1863,0.11%
153,Summer,1862,1938,-4.00%
154,Ashley,1851,1690,9.09%
155,Andrea,1850,1687,9.22%
156,Isabel,1848,1902,-2.88%
157,Oakley,1837,1524,18.63%
158,Olive,1828,1620,12.06%
159,Oaklynn,1824,1439,23.60%
160,Ember,1819,1758,3.41%
161,Kaylee,1814,1963,-7.89%
162,Georgia,1751,1730,1.21%
163,Juliette,1748,1661,5.10%
164,Anastasia,1747,1621,7.48%
165,Genevieve,1737,1825,-4.94%
166,Katherine,1727,1802,-4.25%
167,Blakely,1725,1830,-5.91%
168,Reese,1721,1887,-9.20%
169,Amaya,1716,1765,-2.82%
170,Emerson,1714,1729,-0.87%
171,Brianna,1697,1587,6.70%
172,June,1695,1669,1.55%
173,Alani,1692,1599,5.65%
174,Lainey,1689,1218,32.40%
175,Arianna,1686,1902,-12.04%
176,Rosalie,1682,1581,6.19%
177,Sara,1670,1507,10.26%
178,Jasmine,1664,1701,-2.20%
179,Ruth,1656,1553,6.42%
180,Adalyn,1648,1916,-15.04%
181,Ada,1647,1637,0.61%
182,Bailey,1643,1760,-6.88%
183,Ariella,1626,1692,-3.98%
184,Wren,1595,1219,26.72%
185,Myla,1593,1292,20.87%
186,Khloe,1574,1666,-5.68%
187,Callie,1572,1661,-5.51%
188,Elsie,1545,1335,14.58%
189,Alexandra,1544,1715,-10.49%
190,Ryleigh,1539,1745,-12.55%
191,Faith,1535,1706,-10.55%
192,Norah,1528,1780,-15.24%
193,Margot,1522,1521,0.07%
194,Zuri,1513,1426,5.92%
195,Journee,1508,1506,0.13%
196,Aspen,1502,1486,1.07%
197,Gemma,1495,1540,-2.97%
198,Kylie,1487,1794,-18.71%
199,Molly,1474,1569,-6.24%
200,Blake,1441,1497,-3.81%
201,Zara,1432,1399,2.33%
202,Alaina,1426,1490,-4.39%
203,Alana,1412,1324,6.43%
204,Brynlee,1410,1568,-10.61%
205,Amy,1408,1558,-10.11%
206,Annie,1408,1295,8.36%
207,Saylor,1404,1187,16.75%
208,Ana,1392,1268,9.32%
209,Amira,1385,1347,2.78%
210,Kimberly,1384,1340,3.23%
211,Noelle,1382,1467,-5.97%
212,Kamila,1379,1315,4.75%
213,Morgan,1375,1438,-4.48%
214,Phoebe,1373,1235,10.58%
215,Harmony,1370,1499,-8.99%
216,Sutton,1364,1243,9.28%
217,Taylor,1361,1533,-11.89%
218,Finley,1356,1407,-3.69%
219,Lilah,1356,1242,8.78%
220,Juliana,1355,1414,-4.26%
221,Lila,1346,1329,1.27%
222,Londyn,1344,1437,-6.69%
223,Kailani,1343,1133,16.96%
224,Vera,1330,1303,2.05%
225,Kaia,1323,1294,2.22%
226,Hallie,1316,1015,25.83%
227,Angela,1316,1273,3.32%
228,Diana,1313,1321,-0.61%
229,Presley,1309,1400,-6.72%
230,Lennon,1309,1268,3.18%
231,Arabella,1306,1510,-14.49%
232,Aliyah,1304,1421,-8.59%
233,Lilly,1295,1344,-3.71%
234,Milani,1291,1048,20.78%
235,Jordyn,1287,1416,-9.54%
236,Camille,1283,1121,13.48%
237,Aubree,1279,1540,-18.52%
238,Ariel,1279,1331,-3.98%
239,Selena,1270,1443,-12.75%
240,Sawyer,1257,1370,-8.60%
241,Nyla,1255,1313,-4.52%
242,Delaney,1252,1155,8.06%
243,Mariana,1250,1219,2.51%
244,Rachel,1247,1255,-0.64%
245,Adaline,1238,1096,12.17%
246,Leila,1237,1381,-11.00%
247,Lia,1230,1033,17.41%
248,Collins,1230,998,20.83%
249,Octavia,1229,1231,-0.16%
250,Kali,1220,1115,8.99%
