Rank,Name,Count,White,Black,API,AIAN,Two or More Races,Hispanic
1,SMITH,2442977,70.90%,23.11%,0.50%,0.89%,2.19%,2.40%
2,JOHNSON,1932812,58.97%,34.63%,0.54%,0.94%,2.56%,2.36%
3,WILLIAMS,1625252,45.75%,47.68%,0.46%,0.82%,2.81%,2.49%
4,BROWN,1437026,57.95%,35.60%,0.51%,0.87%,2.55%,2.52%
5,JONES,1425470,55.19%,38.48%,0.44%,1.00%,2.61%,2.29%
6,GARCIA,1166120,5.38%,0.45%,1.41%,0.47%,0.26%,92.03%
7,MILLER,1161437,84.11%,10.76%,0.54%,0.66%,1.77%,2.17%
8,DAVIS,1116357,62.20%,31.60%,0.49%,0.82%,2.45%,2.44%
9,RODRIGUEZ,1094924,4.75%,0.54%,0.57%,0.18%,0.18%,93.77%
10,MARTINEZ,1060159,5.28%,0.49%,0.60%,0.51%,0.22%,92.91%
11,HERNANDEZ,1043281,3.79%,0.36%,0.60%,0.19%,0.16%,94.89%
12,LOPEZ,874523,4.86%,0.57%,1.02%,0.38%,0.25%,92.92%
13,GONZALEZ,841025,4.03%,0.35%,0.38%,0.14%,0.13%,94.97%
14,WILSON,801882,67.36%,25.99%,0.60%,1.06%,2.38%,2.61%
15,ANDERSON,784404,75.17%,18.93%,0.61%,0.74%,2.11%,2.44%
16,THOMAS,756142,52.63%,38.75%,2.44%,1.07%,2.58%,2.54%
17,TAYLOR,751209,65.38%,28.42%,0.56%,0.76%,2.41%,2.46%
18,MOORE,724374,66.41%,27.74%,0.48%,0.68%,2.34%,2.34%
19,JACKSON,708099,39.89%,53.04%,0.39%,1.06%,3.12%,2.50%
20,MARTIN,702625,74.80%,15.76%,0.90%,0.98%,2.02%,5.56%
21,LEE,693023,35.95%,16.33%,42.22%,0.97%,2.64%,1.89%
22,PEREZ,681645,4.96%,0.45%,1.17%,0.20%,0.26%,92.95%
23,THOMPSON,664644,69.78%,23.57%,0.57%,1.22%,2.37%,2.49%
24,WHITE,660491,65.51%,28.17%,0.49%,1.07%,2.38%,2.38%
25,HARRIS,624252,51.40%,42.39%,0.47%,0.67%,2.80%,2.26%
26,SANCHEZ,612752,4.98%,0.45%,0.96%,0.37%,0.24%,92.99%
27,CLARK,562679,74.65%,19.02%,0.54%,1.01%,2.19%,2.58%
28,RAMIREZ,557423,3.89%,0.31%,0.93%,0.20%,0.19%,94.48%
29,LEWIS,531781,58.23%,34.84%,0.56%,1.20%,2.58%,2.58%
30,ROBINSON,529821,48.70%,44.93%,0.46%,0.53%,2.77%,2.61%
31,WALKER,523129,58.66%,35.05%,0.45%,0.87%,2.55%,2.41%
32,YOUNG,484447,66.26%,24.67%,3.03%,0.79%,2.66%,2.58%
33,ALLEN,482607,67.59%,26.17%,0.54%,0.86%,2.38%,2.47%
34,KING,465422,70.16%,22.76%,1.23%,0.98%,2.31%,2.55%
35,WRIGHT,458980,65.80%,28.23%,0.51%,0.69%,2.41%,2.36%
36,SCOTT,439530,60.21%,32.92%,0.51%,1.18%,2.59%,2.58%
37,TORRES,437813,5.35%,0.57%,1.43%,0.20%,0.28%,92.16%
38,NGUYEN,437645,0.95%,0.12%,96.45%,0.03%,1.83%,0.63%
39,HILL,434827,64.36%,29.12%,0.53%,0.97%,2.51%,2.51%
40,FLORES,433969,4.87%,0.42%,2.08%,0.34%,0.36%,91.94%
41,GREEN,430182,56.84%,36.97%,0.44%,0.64%,2.47%,2.64%
42,ADAMS,427865,74.02%,19.90%,0.56%,0.79%,2.16%,2.57%
43,NELSON,424958,77.66%,15.97%,0.67%,1.16%,2.00%,2.55%
44,BAKER,419586,79.83%,14.44%,0.56%,0.87%,2.02%,2.28%
45,HALL,407076,72.65%,21.59%,0.64%,0.65%,2.22%,2.25%
46,RIVERA,391114,5.40%,0.95%,2.04%,0.18%,0.37%,91.06%
47,CAMPBELL,386157,73.66%,20.47%,0.53%,0.71%,2.13%,2.49%
48,MITCHELL,384486,61.02%,32.50%,0.48%,1.04%,2.50%,2.47%
49,CARTER,376966,58.20%,35.59%,0.45%,0.78%,2.65%,2.34%
50,ROBERTS,376774,77.27%,16.72%,0.61%,0.85%,2.15%,2.40%
51,GOMEZ,365655,5.12%,0.75%,1.01%,0.26%,0.26%,92.60%
52,PHILLIPS,360802,76.69%,17.09%,0.58%,1.03%,2.17%,2.44%
53,EVANS,355593,68.39%,25.72%,0.47%,0.74%,2.30%,2.39%
54,TURNER,348627,64.25%,30.13%,0.42%,0.60%,2.38%,2.23%
55,DIAZ,347636,5.19%,0.65%,1.19%,0.16%,0.25%,92.56%
56,PARKER,336221,69.17%,24.79%,0.54%,0.88%,2.35%,2.26%
57,CRUZ,334201,5.17%,0.80%,5.19%,0.27%,0.70%,87.88%
58,EDWARDS,332423,62.13%,31.63%,0.50%,0.77%,2.47%,2.50%
59,COLLINS,329770,71.61%,22.43%,0.49%,0.77%,2.23%,2.47%
60,REYES,327904,4.41%,0.59%,5.58%,0.24%,0.59%,88.58%
61,STEWART,324957,69.17%,24.86%,0.48%,0.77%,2.24%,2.49%
62,MORRIS,318884,73.59%,20.08%,0.57%,0.98%,2.24%,2.55%
63,MORALES,311777,4.63%,0.57%,1.18%,0.17%,0.21%,93.23%
64,MURPHY,308417,83.11%,11.53%,0.58%,0.68%,1.76%,2.34%
65,COOK,302589,81.80%,12.55%,0.57%,0.92%,1.98%,2.17%
66,ROGERS,302261,75.40%,18.53%,0.54%,0.82%,2.10%,2.62%
67,GUTIERREZ,293218,4.57%,0.24%,1.40%,0.25%,0.20%,93.33%
68,ORTIZ,286899,4.96%,0.64%,0.67%,0.37%,0.25%,93.11%
69,MORGAN,286280,76.07%,17.27%,0.54%,1.24%,2.10%,2.78%
70,COOPER,280791,67.93%,26.13%,0.50%,0.74%,2.31%,2.40%
71,PETERSON,278297,84.39%,10.09%,0.66%,0.74%,1.72%,2.40%
72,BAILEY,277845,72.45%,22.00%,0.50%,0.62%,2.16%,2.28%
73,REED,277030,71.29%,22.63%,0.51%,1.05%,2.30%,2.22%
74,KELLY,267394,78.09%,16.22%,0.64%,0.54%,1.81%,2.69%
75,HOWARD,264826,64.31%,29.49%,0.50%,0.87%,2.46%,2.37%
76,RAMOS,263464,6.49%,0.98%,4.89%,0.19%,0.65%,86.79%
77,KIM,262352,2.52%,0.39%,94.47%,0.02%,1.96%,0.65%
78,COX,261231,82.62%,12.07%,0.50%,0.67%,1.82%,2.33%
79,WARD,260464,75.58%,18.50%,0.49%,0.91%,2.08%,2.44%
80,RICHARDSON,259798,59.70%,33.63%,0.48%,1.10%,2.44%,2.65%
81,WATSON,252579,66.03%,27.90%,0.53%,0.82%,2.30%,2.41%
82,BROOKS,251663,60.22%,33.47%,0.48%,0.79%,2.56%,2.48%
83,CHAVEZ,250898,5.02%,0.21%,0.65%,0.94%,0.23%,92.96%
84,WOOD,250715,88.72%,5.57%,0.66%,0.84%,1.79%,2.42%
85,JAMES,249379,51.58%,38.86%,1.27%,2.58%,2.64%,3.08%
86,BENNETT,247599,76.56%,17.53%,0.53%,0.88%,1.99%,2.50%
87,GRAY,246116,68.68%,25.13%,0.54%,0.91%,2.33%,2.41%
88,MENDOZA,242771,4.11%,0.35%,4.91%,0.24%,0.42%,89.97%
89,RUIZ,238234,5.17%,0.44%,1.03%,0.22%,0.24%,92.89%
90,HUGHES,236271,78.39%,16.13%,0.50%,0.53%,1.97%,2.47%
91,PRICE,235251,73.93%,20.51%,0.51%,0.66%,2.14%,2.24%
92,ALVAREZ,233983,5.18%,0.60%,1.16%,0.38%,0.23%,92.45%
93,CASTILLO,230420,4.92%,0.72%,3.04%,0.59%,0.46%,90.26%
94,SANDERS,230374,60.78%,32.97%,0.41%,0.84%,2.43%,2.57%
95,PATEL,229973,2.10%,0.38%,94.78%,0.65%,1.65%,0.44%
96,MYERS,229895,84.50%,10.54%,0.50%,0.55%,1.80%,2.10%
97,LONG,229374,79.88%,12.10%,2.48%,1.32%,1.97%,2.24%
98,ROSS,229368,68.96%,24.46%,0.61%,0.90%,2.32%,2.75%
99,FOSTER,227764,69.65%,23.94%,0.55%,0.88%,2.33%,2.65%
100,JIMENEZ,227118,3.84%,0.29%,1.49%,0.20%,0.21%,93.97%
101,POWELL,224874,67.20%,27.12%,0.46%,0.62%,2.29%,2.31%
102,JENKINS,222653,57.76%,36.78%,0.39%,0.57%,2.42%,2.07%
103,PERRY,221741,68.32%,25.20%,0.57%,0.81%,2.43%,2.67%
104,RUSSELL,221558,77.05%,16.69%,0.57%,1.05%,2.18%,2.46%
105,SULLIVAN,220990,87.73%,7.13%,0.60%,0.57%,1.59%,2.39%
106,BELL,220599,61.11%,32.35%,0.55%,1.01%,2.51%,2.46%
107,COLEMAN,219070,49.43%,44.60%,0.40%,0.53%,2.79%,2.25%
108,BUTLER,218847,62.36%,31.54%,0.45%,0.84%,2.45%,2.35%
109,HENDERSON,218393,59.63%,33.98%,0.45%,0.86%,2.56%,2.51%
110,BARNES,218241,64.81%,29.28%,0.48%,0.75%,2.35%,2.33%
111,GONZALES,214758,9.83%,0.99%,3.80%,0.76%,0.56%,84.06%
112,FISHER,214703,82.58%,11.79%,0.55%,0.76%,1.89%,2.43%
113,VASQUEZ,212781,5.06%,0.51%,0.73%,0.29%,0.24%,93.17%
114,SIMMONS,210182,57.91%,36.15%,0.47%,0.67%,2.52%,2.29%
115,ROMERO,208614,8.65%,0.50%,1.30%,0.69%,0.37%,88.50%
116,JORDAN,208403,61.44%,30.73%,0.55%,0.72%,2.45%,4.11%
117,PATTERSON,205423,67.27%,26.80%,0.47%,0.68%,2.35%,2.43%
118,ALEXANDER,204621,58.19%,34.04%,1.24%,0.70%,2.66%,3.17%
119,HAMILTON,201746,70.21%,23.71%,0.54%,0.80%,2.29%,2.45%
120,GRAHAM,201159,70.02%,23.99%,0.51%,0.80%,2.13%,2.55%
121,REYNOLDS,200247,81.08%,13.21%,0.52%,0.71%,2.02%,2.45%
122,GRIFFIN,198406,63.77%,30.81%,0.44%,0.47%,2.28%,2.21%
123,WALLACE,197276,69.24%,24.70%,0.51%,0.77%,2.31%,2.47%
124,MORENO,196925,6.09%,0.43%,0.67%,0.37%,0.22%,92.23%
125,WEST,195818,75.48%,18.48%,0.49%,0.83%,2.27%,2.45%
126,COLE,195289,75.33%,18.89%,0.55%,0.72%,2.10%,2.41%
127,HAYES,194246,69.38%,24.69%,0.49%,0.81%,2.34%,2.29%
128,BRYANT,192773,58.46%,35.58%,0.39%,0.89%,2.47%,2.21%
129,HERRERA,192711,4.92%,0.36%,0.96%,0.51%,0.22%,93.03%
130,GIBSON,190667,72.14%,21.78%,0.46%,0.97%,2.34%,2.31%
131,ELLIS,188968,70.36%,23.47%,0.54%,0.66%,2.24%,2.73%
132,TRAN,188498,1.35%,0.10%,96.00%,0.03%,1.70%,0.81%
133,MEDINA,188497,5.69%,0.60%,1.92%,0.30%,0.33%,91.16%
134,AGUILAR,186512,4.03%,0.26%,1.64%,0.52%,0.23%,93.32%
135,STEVENS,185674,81.44%,11.82%,0.64%,1.33%,2.04%,2.74%
136,MURRAY,184910,74.92%,19.29%,0.57%,0.60%,2.02%,2.60%
137,FORD,184832,62.05%,32.00%,0.45%,0.61%,2.52%,2.37%
138,CASTRO,184134,7.29%,0.66%,3.74%,0.24%,0.64%,87.42%
139,MARSHALL,183922,66.03%,27.51%,0.58%,0.96%,2.34%,2.58%
140,OWENS,182719,65.85%,28.41%,0.36%,0.75%,2.47%,2.17%
141,HARRISON,181091,68.66%,24.45%,0.52%,1.39%,2.27%,2.70%
142,FERNANDEZ,180842,8.77%,1.15%,5.38%,0.18%,0.93%,83.58%
143,MCDONALD,180497,76.65%,17.28%,0.55%,0.78%,2.01%,2.73%
144,WOODS,177425,58.30%,35.30%,0.42%,0.88%,2.74%,2.35%
145,WASHINGTON,177386,5.17%,87.53%,0.30%,0.68%,3.78%,2.54%
146,KENNEDY,176865,80.82%,13.63%,0.62%,0.61%,1.87%,2.45%
147,WELLS,176230,74.00%,20.00%,0.49%,0.87%,2.22%,2.41%
148,VARGAS,173835,5.41%,0.42%,0.85%,0.18%,0.22%,92.92%
149,HENRY,170964,61.43%,30.68%,0.84%,1.87%,2.34%,2.84%
150,CHEN,169580,1.40%,0.30%,96.12%,0.02%,1.64%,0.52%
151,FREEMAN,169149,65.50%,28.34%,0.52%,0.95%,2.38%,2.30%
152,WEBB,168878,75.53%,19.08%,0.46%,0.66%,1.99%,2.29%
153,TUCKER,167446,70.01%,24.17%,0.45%,0.78%,2.25%,2.35%
154,GUZMAN,167044,4.11%,0.42%,1.29%,0.15%,0.27%,93.77%
155,BURNS,165925,80.26%,14.06%,0.59%,0.78%,1.83%,2.48%
156,CRAWFORD,164457,68.56%,25.65%,0.49%,0.75%,2.30%,2.24%
157,OLSON,164035,94.76%,0.40%,0.66%,0.72%,1.43%,2.03%
158,SIMPSON,163181,70.78%,23.09%,0.53%,0.78%,2.30%,2.53%
159,PORTER,163054,68.57%,25.40%,0.55%,0.72%,2.31%,2.45%
160,HUNTER,162440,60.78%,32.69%,0.48%,1.02%,2.63%,2.41%
161,GORDON,161833,64.25%,29.15%,0.62%,0.68%,2.26%,3.04%
162,MENDEZ,161717,4.48%,0.78%,0.48%,0.24%,0.18%,93.83%
163,SILVA,161633,32.61%,2.03%,2.01%,0.39%,1.62%,61.34%
164,SHAW,160400,72.07%,21.19%,1.48%,0.75%,2.15%,2.36%
165,SNYDER,160262,94.07%,1.46%,0.59%,0.52%,1.45%,1.92%
166,MASON,160213,68.82%,25.10%,0.53%,0.76%,2.38%,2.41%
167,DIXON,159480,54.25%,39.26%,0.43%,0.96%,2.61%,2.49%
168,MUNOZ,158483,4.89%,0.30%,0.91%,0.21%,0.21%,93.48%
169,HUNT,158421,73.57%,16.93%,0.61%,4.23%,2.35%,2.31%
170,HICKS,158320,67.37%,26.88%,0.42%,0.98%,2.23%,2.13%
171,HOLMES,156780,56.79%,37.28%,0.42%,0.76%,2.37%,2.38%
172,PALMER,156601,75.08%,18.57%,0.55%,0.81%,2.11%,2.87%
173,WAGNER,155795,92.47%,2.60%,0.58%,0.54%,1.40%,2.41%
174,BLACK,154738,74.63%,19.00%,0.53%,1.44%,2.08%,2.33%
175,ROBERTSON,153666,73.42%,20.61%,0.52%,0.89%,2.11%,2.46%
176,BOYD,153469,63.18%,30.77%,0.51%,1.02%,2.36%,2.16%
177,ROSE,153397,82.08%,11.61%,0.72%,0.64%,1.99%,2.96%
178,STONE,153329,85.95%,8.13%,0.65%,0.95%,1.93%,2.39%
179,SALAZAR,152703,5.62%,0.27%,1.69%,0.46%,0.30%,91.65%
180,FOX,152334,88.08%,6.06%,0.56%,1.03%,1.84%,2.42%
181,WARREN,152147,70.08%,23.94%,0.55%,0.84%,2.26%,2.33%
182,MILLS,151942,77.50%,16.77%,0.51%,0.82%,2.06%,2.33%
183,MEYER,150895,94.84%,0.52%,0.71%,0.29%,1.37%,2.28%
184,RICE,149500,77.63%,16.74%,0.57%,0.74%,1.99%,2.33%
185,SCHMIDT,147034,95.15%,0.37%,0.61%,0.34%,1.19%,2.34%
186,GARZA,147005,6.66%,0.24%,0.17%,0.28%,0.15%,92.49%
187,DANIELS,146570,54.67%,38.54%,0.51%,0.91%,2.68%,2.70%
188,FERGUSON,146426,74.83%,19.19%,0.60%,0.62%,2.23%,2.53%
189,NICHOLS,145584,82.42%,11.88%,0.52%,0.76%,1.99%,2.43%
190,STEPHENS,144646,73.90%,20.31%,0.46%,0.67%,2.12%,2.54%
191,SOTO,144451,5.15%,0.48%,0.44%,0.26%,0.22%,93.45%
192,WEAVER,143837,84.41%,9.99%,0.52%,1.09%,1.87%,2.12%
193,RYAN,143452,91.65%,3.02%,0.89%,0.43%,1.46%,2.55%
194,GARDNER,142894,75.01%,19.40%,0.56%,0.70%,2.04%,2.29%
195,PAYNE,142601,71.55%,22.63%,0.45%,0.58%,2.37%,2.42%
196,GRANT,142277,55.36%,37.91%,0.52%,1.08%,2.35%,2.79%
197,DUNN,141427,80.08%,14.39%,0.75%,0.59%,1.94%,2.25%
198,KELLEY,140693,83.78%,10.80%,0.55%,0.66%,2.03%,2.18%
199,SPENCER,139951,69.41%,23.22%,0.76%,1.47%,2.48%,2.67%
200,HAWKINS,139751,61.08%,32.75%,0.48%,0.69%,2.50%,2.50%
201,ARNOLD,138893,81.27%,13.34%,0.57%,0.55%,1.87%,2.41%
202,PIERCE,138629,80.98%,12.86%,0.53%,1.06%,2.10%,2.47%
203,VAZQUEZ,138322,3.53%,0.35%,0.18%,0.06%,0.12%,95.75%
204,HANSEN,137977,94.22%,0.53%,0.74%,0.49%,1.47%,2.54%
205,PETERS,137513,82.86%,10.41%,0.98%,1.33%,1.86%,2.55%
206,SANTOS,137232,20.06%,2.31%,13.32%,0.27%,1.85%,62.20%
207,HART,137184,80.54%,13.64%,0.56%,0.73%,2.01%,2.52%
208,BRADLEY,136720,69.12%,25.09%,0.44%,0.82%,2.19%,2.34%
209,KNIGHT,136713,72.31%,21.61%,0.52%,0.90%,2.17%,2.50%
210,ELLIOTT,135765,81.62%,12.96%,0.54%,0.66%,2.00%,2.21%
211,CUNNINGHAM,135718,73.16%,21.18%,0.53%,0.48%,2.07%,2.58%
212,DUNCAN,135187,76.39%,17.33%,0.52%,0.99%,2.21%,2.55%
213,ARMSTRONG,135044,72.39%,21.01%,0.58%,0.93%,2.31%,2.79%
214,HUDSON,134963,66.88%,27.42%,0.46%,0.84%,2.20%,2.20%
215,CARROLL,134317,82.95%,11.48%,0.61%,0.67%,1.92%,2.36%
216,LANE,134227,77.14%,16.88%,0.61%,0.92%,2.12%,2.33%
217,RILEY,133872,72.79%,21.27%,0.51%,0.87%,2.08%,2.48%
218,ANDREWS,133799,71.78%,21.58%,0.78%,1.09%,2.20%,2.57%
219,ALVARADO,133501,4.29%,0.33%,0.53%,0.23%,0.20%,94.42%
220,RAY,133171,74.97%,17.54%,1.94%,0.93%,2.05%,2.56%
221,DELGADO,132985,5.57%,0.72%,0.80%,0.19%,0.25%,92.47%
222,BERRY,132812,70.66%,23.11%,0.56%,0.80%,2.34%,2.53%
223,PERKINS,131440,69.45%,24.60%,0.53%,0.73%,2.33%,2.37%
224,HOFFMAN,131401,94.08%,1.26%,0.63%,0.56%,1.34%,2.12%
225,JOHNSTON,131373,91.62%,2.41%,0.68%,0.83%,1.84%,2.62%
226,MATTHEWS,131303,63.37%,30.67%,0.62%,0.58%,2.36%,2.39%
227,PENA,130776,5.34%,0.52%,1.09%,0.31%,0.24%,92.50%
228,RICHARDS,130529,78.67%,14.86%,0.66%,1.04%,1.96%,2.81%
229,CONTRERAS,130164,4.19%,0.21%,0.55%,0.25%,0.16%,94.64%
230,WILLIS,130152,62.22%,31.07%,0.51%,1.33%,2.55%,2.31%
231,CARPENTER,129898,86.21%,8.49%,0.57%,0.68%,1.87%,2.18%
232,LAWRENCE,129699,68.87%,24.65%,0.74%,0.93%,2.30%,2.50%
233,SANDOVAL,128948,5.29%,0.21%,0.55%,1.77%,0.25%,91.93%
234,GUERRERO,128677,4.55%,0.33%,2.20%,0.22%,0.43%,92.27%
235,GEORGE,128625,66.47%,18.46%,7.62%,2.24%,2.04%,3.16%
236,CHAPMAN,127939,79.51%,14.62%,0.57%,0.81%,2.03%,2.47%
237,RIOS,127794,4.99%,0.44%,0.43%,0.32%,0.22%,93.61%
238,ESTRADA,127470,4.58%,0.43%,1.66%,0.20%,0.28%,92.86%
239,ORTEGA,127256,4.77%,0.29%,1.15%,0.43%,0.25%,93.11%
240,WATKINS,127083,62.03%,32.27%,0.42%,0.64%,2.56%,2.09%
241,GREENE,126101,67.70%,26.54%,0.48%,0.73%,2.34%,2.21%
242,NUNEZ,125350,5.28%,0.67%,0.83%,0.26%,0.23%,92.72%
243,WHEELER,125058,80.96%,13.29%,0.50%,0.93%,1.97%,2.35%
244,VALDEZ,124995,6.29%,0.48%,3.35%,0.65%,0.56%,88.66%
245,HARPER,124461,67.90%,26.22%,0.49%,0.72%,2.36%,2.31%
246,BURKE,122877,85.93%,8.76%,0.68%,0.54%,1.68%,2.41%
247,LARSON,122587,94.79%,0.49%,0.74%,0.62%,1.41%,1.95%
