Rank,Name,Count,White,Black,API,AIAN,Two or More Races,Hispanic
749,HURST,46244,84.50%,10.53%,0.47%,0.54%,1.79%,2.18%
750,WOODARD,46240,59.90%,34.60%,0.48%,0.59%,2.21%,2.22%
751,CORTES,46229,4.83%,0.40%,2.06%,0.09%,0.22%,92.40%
752,SHANNON,46147,75.16%,19.51%,0.54%,0.40%,2.03%,2.36%
753,KEMP,46146,71.72%,22.83%,0.49%,0.69%,2.21%,2.07%
754,NOLAN,46054,86.85%,7.44%,0.58%,0.56%,1.66%,2.91%
755,MCCULLOUGH,45852,73.27%,21.17%,0.50%,0.45%,2.01%,2.60%
756,MERRITT,45594,75.08%,19.67%,0.50%,0.69%,1.95%,2.11%
757,MURILLO,45558,4.40%,0.36%,0.87%,0.29%,0.24%,93.84%
758,MOON,45528,65.69%,10.02%,19.10%,0.99%,2.18%,2.02%
759,SALGADO,45469,4.08%,0.30%,1.23%,0.34%,0.19%,93.86%
760,STRONG,45432,66.84%,25.83%,0.80%,1.45%,2.47%,2.60%
761,KLINE,45390,94.18%,1.62%,0.51%,0.34%,1.33%,2.02%
762,CORDOVA,45305,10.25%,0.63%,1.34%,0.76%,0.51%,86.51%
763,BARAJAS,45153,3.06%,0.10%,0.13%,0.15%,0.10%,96.46%
764,ROACH,45019,80.26%,13.99%,0.50%,0.84%,1.76%,2.65%
765,ROSAS,44938,3.86%,0.25%,0.51%,0.18%,0.12%,95.08%
766,WINTERS,44914,79.11%,15.08%,0.52%,0.84%,2.05%,2.41%
767,JACOBSON,44808,94.66%,0.40%,0.76%,0.53%,1.47%,2.18%
768,LESTER,44784,75.78%,18.60%,0.43%,1.21%,1.75%,2.22%
769,KNOX,44742,63.40%,30.58%,0.49%,0.74%,2.49%,2.31%
770,BULLOCK,44740,61.59%,32.96%,0.46%,0.61%,2.23%,2.15%
771,KERR,44711,86.86%,7.52%,0.80%,0.60%,1.78%,2.44%
772,LEACH,44581,80.28%,13.84%,0.58%,0.88%,1.99%,2.42%
773,MEADOWS,44500,81.24%,14.17%,0.40%,0.48%,1.81%,1.90%
774,ORR,44388,79.42%,15.00%,0.65%,0.77%,1.96%,2.20%
774,DAVILA,44388,6.64%,0.70%,0.33%,0.18%,0.20%,91.95%
776,WHITEHEAD,44373,70.49%,24.03%,0.40%,0.73%,2.23%,2.11%
777,PRUITT,44365,73.19%,21.50%,0.32%,0.71%,2.27%,2.01%
778,KENT,44325,83.88%,10.41%,0.81%,0.67%,1.94%,2.29%
779,CONWAY,44320,81.76%,12.47%,0.63%,0.71%,1.94%,2.49%
780,MCKEE,44137,87.42%,6.81%,0.63%,0.84%,1.94%,2.35%
781,BARR,44130,82.69%,11.74%,0.59%,1.04%,1.67%,2.26%
782,DAVID,44040,59.45%,14.86%,13.85%,1.73%,2.52%,7.59%
783,DEJESUS,44038,5.89%,1.56%,7.72%,0.22%,0.69%,83.92%
784,MARIN,43904,11.07%,1.07%,0.81%,0.17%,0.32%,86.58%
785,BERGER,43851,92.33%,2.48%,0.69%,0.34%,1.36%,2.80%
786,MCINTYRE,43842,78.51%,16.27%,0.54%,0.43%,1.93%,2.32%
787,BLANKENSHIP,43830,93.71%,2.03%,0.36%,0.77%,1.51%,1.63%
788,GAINES,43821,42.93%,50.72%,0.33%,0.58%,3.06%,2.37%
789,PALACIOS,43798,4.28%,0.40%,0.87%,0.15%,0.24%,94.05%
790,CUEVAS,43701,7.35%,0.28%,1.74%,0.16%,0.23%,90.24%
791,BARTLETT,43648,90.56%,3.71%,0.66%,0.65%,1.82%,2.60%
792,DURHAM,43635,73.03%,21.54%,0.43%,0.63%,2.20%,2.17%
793,DORSEY,43631,41.84%,52.16%,0.40%,0.48%,3.18%,1.95%
794,MCCALL,43483,66.52%,28.22%,0.45%,0.55%,2.05%,2.21%
795,ODONNELL,43460,95.10%,0.47%,0.56%,0.27%,1.22%,2.38%
796,STEIN,43389,94.40%,1.02%,0.70%,0.36%,1.16%,2.36%
797,BROWNING,43329,87.47%,7.28%,0.43%,0.70%,1.83%,2.28%
798,STOUT,43305,92.05%,2.29%,0.65%,0.89%,1.71%,2.42%
799,LOWERY,43278,67.95%,22.96%,0.36%,4.48%,2.18%,2.07%
800,SLOAN,43261,79.42%,13.85%,0.56%,1.84%,2.09%,2.25%
801,MCLEAN,43260,66.95%,26.91%,0.66%,0.70%,2.14%,2.63%
802,HENDRICKS,43197,75.70%,17.40%,0.56%,1.35%,2.21%,2.78%
803,CALHOUN,43180,61.69%,32.99%,0.48%,0.52%,2.26%,2.07%
804,SEXTON,43133,91.43%,3.64%,0.46%,0.74%,1.58%,2.14%
805,CHUNG,43110,2.25%,2.28%,90.01%,0.03%,4.02%,1.40%
806,GENTRY,43027,82.09%,12.15%,0.42%,0.73%,2.09%,2.52%
807,HULL,43018,85.54%,8.62%,0.62%,0.74%,1.88%,2.60%
808,DUARTE,42983,16.20%,1.67%,0.88%,0.29%,0.97%,79.99%
809,ELLISON,42827,65.84%,28.32%,0.59%,0.57%,2.29%,2.40%
810,NIELSEN,42773,94.15%,0.35%,0.88%,0.41%,1.50%,2.71%
811,GILLESPIE,42693,81.20%,13.84%,0.47%,0.48%,1.72%,2.29%
812,BUCK,42639,88.10%,5.71%,0.78%,1.43%,1.92%,2.06%
813,MIDDLETON,42578,66.71%,28.16%,0.50%,0.46%,2.06%,2.11%
814,SELLERS,42577,76.51%,17.84%,0.47%,1.04%,2.01%,2.13%
815,LEBLANC,42575,86.17%,8.75%,0.46%,0.68%,1.44%,2.49%
816,ESPARZA,42559,5.12%,0.14%,0.18%,0.24%,0.15%,94.17%
817,HARDIN,42469,77.67%,16.00%,0.58%,1.41%,2.19%,2.15%
818,BRADSHAW,42465,78.07%,16.42%,0.45%,0.57%,2.16%,2.34%
819,MCINTOSH,42379,69.76%,23.80%,0.55%,1.08%,2.50%,2.30%
820,HOWE,42265,90.62%,3.18%,0.99%,1.27%,1.83%,2.10%
821,LIVINGSTON,42103,72.08%,20.89%,0.54%,1.94%,2.03%,2.52%
822,FROST,42015,86.46%,7.69%,0.74%,0.94%,1.99%,2.19%
823,GLASS,41802,76.99%,17.35%,0.44%,1.06%,1.88%,2.29%
824,MORSE,41774,90.54%,4.31%,0.72%,0.57%,1.80%,2.06%
825,KNAPP,41771,94.71%,0.58%,0.64%,0.44%,1.36%,2.27%
826,HERMAN,41750,90.49%,3.40%,0.90%,1.01%,1.26%,2.94%
827,STARK,41735,92.48%,2.25%,0.58%,0.70%,1.53%,2.46%
828,BRAVO,41700,6.21%,0.65%,1.90%,0.29%,0.35%,90.60%
829,NOBLE,41667,77.69%,14.40%,1.65%,0.74%,2.12%,3.40%
830,SPEARS,41665,66.95%,26.34%,0.46%,1.56%,2.47%,2.23%
831,WEEKS,41565,84.38%,9.97%,0.55%,0.84%,1.81%,2.45%
832,CORONA,41553,8.59%,0.30%,0.43%,0.15%,0.25%,90.28%
833,FREDERICK,41394,80.13%,14.07%,0.62%,0.82%,1.94%,2.42%
834,BUCKLEY,41348,83.18%,11.48%,0.57%,0.73%,1.69%,2.37%
835,MCFARLAND,41300,78.85%,15.64%,0.61%,0.55%,2.12%,2.23%
836,HEBERT,41275,90.43%,4.85%,0.45%,0.55%,1.35%,2.36%
837,ENRIQUEZ,41271,4.04%,0.55%,7.92%,0.42%,0.56%,86.51%
838,HICKMAN,41163,75.17%,18.66%,0.45%,1.26%,2.20%,2.27%
839,QUINTERO,41158,4.21%,0.37%,0.42%,0.75%,0.16%,94.09%
840,RANDOLPH,41129,55.87%,37.71%,0.47%,0.70%,2.88%,2.37%
841,SCHAEFER,41063,95.05%,0.46%,0.68%,0.35%,1.31%,2.16%
842,WALLS,41025,68.68%,25.39%,0.37%,0.77%,2.37%,2.42%
843,TREJO,41021,3.96%,0.36%,0.13%,0.25%,0.16%,95.13%
844,HOUSE,41000,75.10%,18.70%,0.42%,1.47%,2.25%,2.05%
845,REILLY,40884,95.27%,0.43%,0.70%,0.13%,1.16%,2.31%
846,PENNINGTON,40854,87.86%,7.23%,0.41%,0.53%,1.76%,2.20%
847,MICHAEL,40736,83.59%,8.88%,1.95%,0.67%,1.85%,3.06%
848,CONRAD,40707,92.02%,3.14%,0.62%,0.58%,1.48%,2.16%
849,GILES,40598,64.94%,26.15%,0.44%,0.48%,2.32%,5.66%
850,BENJAMIN,40590,49.04%,41.58%,2.49%,0.90%,2.61%,3.38%
851,CROSBY,40563,70.03%,24.02%,0.54%,0.72%,2.19%,2.50%
852,FITZPATRICK,40449,85.59%,9.42%,0.60%,0.40%,1.67%,2.32%
853,DONOVAN,40410,92.94%,2.00%,0.68%,0.27%,1.33%,2.79%
854,MAYS,40408,54.75%,39.68%,0.36%,0.56%,2.66%,1.98%
855,MAHONEY,40397,91.10%,4.28%,0.63%,0.24%,1.48%,2.27%
856,VALENTINE,40395,66.06%,23.29%,0.66%,0.50%,2.14%,7.35%
857,RAYMOND,40275,79.07%,13.61%,1.05%,0.94%,2.05%,3.28%
858,MEDRANO,40261,4.27%,0.30%,1.94%,0.21%,0.30%,92.98%
859,HAHN,40250,90.16%,0.48%,5.69%,0.33%,1.30%,2.04%
860,MCMILLAN,40237,67.96%,25.64%,0.59%,1.27%,2.40%,2.15%
861,SMALL,40212,62.66%,30.81%,0.58%,1.41%,1.93%,2.61%
862,BENTLEY,40193,82.48%,12.38%,0.52%,0.46%,1.87%,2.29%
863,FELIX,40165,17.50%,11.56%,2.80%,0.89%,0.96%,66.29%
864,PECK,40055,90.68%,3.60%,0.90%,0.50%,1.68%,2.64%
865,LUCERO,39986,11.10%,0.22%,2.67%,2.89%,0.70%,82.41%
866,BOYLE,39921,93.52%,2.02%,0.61%,0.29%,1.29%,2.26%
867,HANNA,39890,87.09%,6.40%,0.98%,0.57%,2.24%,2.71%
868,PACE,39879,78.26%,16.49%,0.67%,0.51%,1.71%,2.35%
869,RUSH,39802,74.04%,20.81%,0.46%,0.68%,1.86%,2.16%
870,HURLEY,39796,90.71%,4.64%,0.65%,0.62%,1.48%,1.90%
871,HARDING,39787,80.14%,13.64%,0.61%,0.88%,2.19%,2.53%
872,MCCONNELL,39754,88.76%,5.98%,0.58%,0.80%,1.78%,2.10%
873,BERNAL,39693,7.95%,0.41%,2.39%,0.31%,0.39%,88.54%
874,NAVA,39670,4.48%,0.27%,1.08%,0.22%,0.20%,93.76%
875,AYERS,39623,82.96%,11.66%,0.60%,0.58%,2.13%,2.07%
876,EVERETT,39593,68.90%,24.59%,0.51%,0.70%,2.10%,3.21%
877,VENTURA,39580,18.80%,0.77%,4.64%,0.29%,1.04%,74.47%
878,AVERY,39564,71.13%,22.93%,0.51%,0.75%,2.39%,2.29%
879,PUGH,39559,67.24%,28.07%,0.45%,0.43%,1.98%,1.82%
880,MAYER,39555,93.11%,1.25%,0.91%,0.36%,1.34%,3.04%
881,BENDER,39551,88.49%,6.53%,0.67%,0.64%,1.60%,2.08%
882,SHEPARD,39430,76.74%,17.05%,0.55%,0.87%,2.16%,2.63%
883,MCMAHON,39411,93.22%,2.27%,0.65%,0.21%,1.30%,2.34%
884,LANDRY,39391,82.97%,12.56%,0.51%,0.39%,1.49%,2.09%
885,CASE,39319,92.33%,2.12%,0.65%,1.01%,1.73%,2.16%
886,SAMPSON,39277,60.21%,29.99%,0.66%,3.90%,2.43%,2.80%
887,MOSES,39216,55.05%,34.47%,2.03%,3.16%,2.70%,2.60%
888,MAGANA,39105,3.81%,0.35%,0.61%,0.18%,0.16%,94.90%
889,BLACKBURN,39097,87.41%,7.31%,0.52%,0.91%,1.71%,2.14%
890,DUNLAP,39063,75.00%,19.52%,0.46%,0.66%,2.13%,2.23%
891,GOULD,38924,86.79%,7.21%,0.72%,1.38%,1.80%,2.10%
892,DUFFY,38835,90.71%,4.25%,0.67%,0.49%,1.63%,2.25%
893,VAUGHAN,38830,82.04%,12.93%,0.50%,0.45%,1.73%,2.35%
894,HERRING,38733,72.71%,22.05%,0.41%,0.45%,2.16%,2.21%
895,MCKAY,38681,80.03%,13.56%,0.70%,1.20%,2.12%,2.39%
896,ESPINOSA,38667,7.73%,0.43%,3.50%,0.33%,0.36%,87.65%
897,RIVERS,38662,40.47%,50.93%,0.61%,1.95%,2.64%,3.40%
898,FARLEY,38528,83.74%,10.87%,0.57%,0.76%,1.59%,2.46%
899,BERNARD,38512,62.84%,25.83%,1.09%,0.73%,2.15%,7.37%
900,ASHLEY,38499,71.84%,20.60%,0.65%,2.35%,2.25%,2.31%
901,FRIEDMAN,38374,96.05%,0.41%,0.60%,0.13%,0.94%,1.88%
902,POTTS,38277,79.56%,14.31%,0.55%,1.32%,1.99%,2.28%
903,TRUONG,38267,0.82%,0.11%,96.87%,0.03%,1.60%,0.57%
904,COSTA,38265,83.16%,2.26%,1.82%,0.39%,2.11%,10.25%
905,CORREA,38232,10.37%,1.00%,1.71%,0.30%,1.22%,85.39%
906,BLEVINS,38229,89.47%,5.16%,0.37%,1.15%,2.12%,1.73%
907,NIXON,38147,62.04%,31.59%,0.57%,0.72%,2.51%,2.57%
908,CLEMENTS,38044,84.86%,9.92%,0.50%,0.62%,1.85%,2.25%
909,FRY,38029,91.09%,3.13%,0.55%,1.14%,1.75%,2.34%
910,DELAROSA,37932,5.21%,0.59%,4.58%,0.28%,0.49%,88.85%
911,BEST,37923,71.82%,22.50%,0.54%,0.60%,1.79%,2.75%
912,BENTON,37912,69.00%,24.95%,0.55%,0.89%,2.23%,2.37%
913,LUGO,37903,6.90%,1.00%,0.41%,0.25%,0.23%,91.21%
914,PORTILLO,37890,4.13%,0.45%,0.39%,0.17%,0.11%,94.76%
915,DOUGHERTY,37884,94.37%,1.07%,0.62%,0.28%,1.33%,2.34%
916,CRANE,37870,90.11%,4.26%,0.62%,0.62%,1.78%,2.61%
917,HALEY,37858,81.27%,13.23%,0.54%,0.72%,2.00%,2.24%
918,PHAN,37836,1.28%,0.19%,95.83%,0.03%,2.01%,0.65%
919,VILLALOBOS,37754,3.90%,0.23%,0.65%,0.23%,0.16%,94.84%
920,BLANCHARD,37695,84.87%,9.32%,0.51%,0.80%,1.85%,2.65%
921,HORNE,37689,70.93%,24.03%,0.55%,0.57%,1.94%,1.98%
922,FINLEY,37672,72.30%,21.35%,0.52%,1.24%,2.24%,2.36%
923,QUINTANA,37657,8.20%,0.29%,1.06%,1.09%,0.31%,89.05%
924,LYNN,37644,84.61%,8.99%,1.42%,0.71%,1.77%,2.50%
925,ESQUIVEL,37578,4.12%,0.15%,0.68%,0.16%,0.21%,94.66%
926,BEAN,37571,80.83%,13.42%,0.57%,0.91%,1.79%,2.48%
927,DODSON,37566,81.39%,12.31%,0.51%,1.38%,2.20%,2.20%
928,MULLEN,37502,87.64%,6.89%,0.73%,0.57%,1.86%,2.32%
929,XIONG,37499,0.33%,0.07%,98.07%,0.03%,1.14%,0.35%
930,HAYDEN,37451,80.59%,14.05%,0.65%,0.44%,2.03%,2.25%
931,CANO,37368,6.59%,0.40%,1.17%,0.24%,0.33%,91.27%
932,LEVY,37228,79.16%,12.97%,0.85%,0.25%,1.65%,5.11%
933,HUBER,37170,95.17%,0.41%,0.64%,0.31%,1.36%,2.11%
934,RICHMOND,37053,71.72%,22.84%,0.53%,0.47%,2.22%,2.22%
935,MOYER,37050,93.37%,2.40%,0.54%,0.34%,1.44%,1.91%
936,LIM,37021,2.86%,0.23%,92.24%,0.04%,3.04%,1.59%
937,FRYE,36973,83.04%,11.83%,0.53%,0.98%,1.87%,1.76%
938,SHEPPARD,36960,67.37%,26.79%,0.47%,0.78%,2.03%,2.56%
939,MCCARTY,36944,88.11%,6.37%,0.54%,0.82%,1.73%,2.44%
940,AVALOS,36922,3.54%,0.15%,0.21%,0.15%,0.12%,95.83%
941,BOOKER,36840,28.03%,65.22%,0.28%,0.37%,3.78%,2.33%
942,WALLER,36805,69.64%,25.15%,0.45%,0.48%,2.10%,2.17%
943,PARRA,36765,6.45%,0.30%,0.41%,0.35%,0.20%,92.29%
944,WOODWARD,36764,89.74%,4.80%,0.62%,0.68%,1.80%,2.36%
945,JARAMILLO,36755,7.47%,0.27%,1.00%,0.68%,0.30%,90.28%
946,KRUEGER,36743,95.97%,0.24%,0.63%,0.36%,1.06%,1.73%
947,RASMUSSEN,36636,94.55%,0.27%,0.82%,0.35%,1.43%,2.58%
948,BRANDT,36613,94.13%,0.91%,0.65%,0.37%,1.41%,2.52%
949,PERALTA,36585,5.17%,0.42%,7.18%,0.33%,0.88%,86.03%
950,DONALDSON,36558,72.06%,22.12%,0.50%,0.40%,2.38%,2.54%
951,STUART,36540,84.01%,9.88%,0.69%,0.58%,1.81%,3.03%
952,FAULKNER,36466,79.38%,15.44%,0.45%,0.60%,1.84%,2.28%
953,MAYNARD,36460,87.48%,6.99%,0.46%,0.69%,1.73%,2.65%
954,GALINDO,36429,5.87%,0.15%,0.76%,0.32%,0.25%,92.65%
955,COFFEY,36423,88.38%,6.72%,0.52%,0.74%,1.70%,1.94%
956,ESTES,36318,86.75%,7.17%,0.48%,1.04%,2.07%,2.49%
957,SANFORD,36312,76.62%,17.78%,0.55%,0.66%,2.01%,2.39%
958,BURCH,36269,78.77%,15.35%,0.49%,0.78%,2.19%,2.41%
959,MADDOX,36250,69.75%,25.22%,0.42%,0.47%,1.94%,2.19%
960,VO,36236,1.40%,0.16%,96.07%,0.04%,1.72%,0.61%
961,OCONNELL,36194,95.42%,0.32%,0.59%,0.18%,1.28%,2.20%
962,VU,36179,1.04%,(S),96.61%,(S),1.68%,0.58%
963,ANDERSEN,36150,94.00%,0.82%,0.69%,0.40%,1.45%,2.63%
964,SPENCE,36129,72.23%,21.74%,0.61%,0.55%,2.13%,2.73%
965,MCPHERSON,36125,73.35%,20.66%,0.57%,0.61%,2.33%,2.49%
966,CHURCH,36072,89.18%,5.75%,0.47%,0.82%,1.63%,2.16%
967,SCHMITT,36043,95.68%,0.21%,0.58%,0.36%,1.18%,1.99%
968,STANTON,35997,82.89%,11.56%,0.71%,0.59%,1.90%,2.36%
969,LEAL,35958,13.02%,0.51%,0.98%,0.24%,0.35%,84.90%
970,CHERRY,35877,58.97%,35.45%,0.65%,0.40%,2.49%,2.04%
971,COMPTON,35830,87.26%,7.81%,0.47%,0.69%,1.72%,2.04%
972,DUDLEY,35781,65.96%,27.67%,0.52%,0.74%,2.48%,2.62%
973,SIERRA,35770,7.23%,0.74%,0.64%,0.51%,0.32%,90.56%
974,POLLARD,35749,62.77%,31.39%,0.55%,0.57%,2.40%,2.33%
975,ALFARO,35725,4.88%,0.29%,1.28%,0.10%,0.19%,93.26%
976,HESTER,35642,73.10%,21.94%,0.52%,0.50%,2.18%,1.76%
977,PROCTOR,35636,70.12%,21.55%,0.53%,2.44%,3.11%,2.25%
978,LU,35628,1.77%,0.36%,95.74%,0.02%,1.43%,0.69%
979,HINTON,35606,53.16%,40.63%,0.37%,1.17%,2.58%,2.09%
980,NOVAK,35461,95.47%,0.33%,0.70%,0.21%,1.07%,2.23%
981,GOOD,35446,88.90%,5.48%,1.15%,0.41%,1.62%,2.43%
982,MADDEN,35438,84.48%,10.47%,0.68%,0.46%,1.77%,2.14%
983,MCCANN,35408,89.67%,5.48%,0.65%,0.43%,1.60%,2.17%
983,TERRELL,35408,55.26%,38.99%,0.39%,0.75%,2.41%,2.20%
985,JARVIS,35350,84.87%,9.29%,0.56%,0.55%,1.95%,2.77%
986,DICKSON,35312,75.76%,16.89%,0.70%,1.36%,2.19%,3.10%
987,REYNA,35291,6.18%,0.27%,0.47%,0.45%,0.20%,92.43%
988,CANTRELL,35266,89.67%,4.68%,0.45%,1.18%,1.93%,2.09%
989,MAYO,35228,63.25%,22.18%,2.08%,0.91%,2.52%,9.07%
990,BRANCH,35225,47.37%,45.90%,0.50%,0.62%,2.63%,2.98%
991,HENDRIX,35194,77.99%,16.18%,0.47%,0.71%,2.23%,2.41%
992,ROLLINS,35132,68.29%,25.95%,0.40%,0.48%,2.40%,2.48%
993,ROWLAND,35121,86.60%,7.42%,0.60%,1.02%,1.88%,2.48%
994,WHITNEY,35118,85.44%,8.45%,0.83%,0.82%,1.99%,2.48%
995,DUKE,35053,85.45%,8.08%,0.62%,0.57%,1.96%,3.32%
996,ODOM,35020,69.03%,25.85%,0.45%,0.58%,1.99%,2.11%
997,DAUGHERTY,34987,90.01%,4.48%,0.47%,1.09%,1.94%,2.00%
998,TRAVIS,34985,73.32%,21.01%,0.52%,0.53%,2.21%,2.40%
999,TANG,34961,2.64%,0.62%,93.31%,0.05%,2.13%,1.25%
1000,ARCHER,34949,79.50%,13.99%,0.60%,0.74%,2.03%,
